Probability,RiskLevel
0.008974841,Low Risk
0.025170013,Low Risk
0.33560285,Medium Risk
0.0013657334,Low Risk
0.5207276,Medium Risk
0.6100025,Medium Risk
0.43004495,Medium Risk
0.29100597,Low Risk
0.12016909,Low Risk
0.014824154,Low Risk
0.49775043,Medium Risk
0.9210119,High Risk
0.008333674,Low Risk
0.00872176,Low Risk
0.0012215589,Low Risk
0.010226415,Low Risk
0.32827333,Medium Risk
0.062090043,Low Risk
0.5896492,Medium Risk
0.77828807,High Risk
0.36389396,Medium Risk
0.022527147,Low Risk
0.9797346,High Risk
0.09237944,Low Risk
0.05450253,Low Risk
0.96709734,High Risk
0.28412914,Low Risk
0.008608403,Low Risk
0.3738596,Medium Risk
0.44273332,Medium Risk
0.06669885,Low Risk
0.056766547,Low Risk
0.0046329186,Low Risk
0.533245,Medium Risk
0.82430613,High Risk
0.9559884,High Risk
0.017939307,Low Risk
0.5656369,Medium Risk
0.38638192,Medium Risk
0.54069436,Medium Risk
0.044158276,Low Risk
0.008838211,Low Risk
0.04823663,Low Risk
0.012457917,Low Risk
0.9243584,High Risk
0.07251613,Low Risk
0.002509411,Low Risk
0.41683543,Medium Risk
0.4319834,Medium Risk
0.38648373,Medium Risk
0.059779953,Low Risk
0.026547093,Low Risk
0.2063301,Low Risk
0.46256343,Medium Risk
0.5773221,Medium Risk
0.7757479,High Risk
0.121731654,Low Risk
0.011937313,Low Risk
0.86530805,High Risk
0.16614807,Low Risk
0.82136226,High Risk
0.06139828,Low Risk
0.8522534,High Risk
0.5439905,Medium Risk
0.38546455,Medium Risk
0.022151142,Low Risk
0.017043073,Low Risk
0.20146567,Low Risk
0.9728555,High Risk
0.8614624,High Risk
0.8332569,High Risk
0.47484204,Medium Risk
0.44529736,Medium Risk
0.037274003,Low Risk
0.009704108,Low Risk
0.0220469,Low Risk
0.57215875,Medium Risk
0.0031252499,Low Risk
0.16768564,Low Risk
0.39373812,Medium Risk
0.89326775,High Risk
0.2536545,Low Risk
0.18724468,Low Risk
0.4877919,Medium Risk
0.00501954,Low Risk
0.053387724,Low Risk
0.0156287,Low Risk
0.0143587785,Low Risk
0.055821046,Low Risk
0.02455495,Low Risk
0.13805616,Low Risk
0.005677265,Low Risk
0.023239808,Low Risk
0.62526065,Medium Risk
0.31561166,Medium Risk
0.024696661,Low Risk
0.7287466,High Risk
0.8865233,High Risk
0.2569561,Low Risk
0.9622536,High Risk
0.054252233,Low Risk
0.25703734,Low Risk
0.24683216,Low Risk
0.042630527,Low Risk
0.7821132,High Risk
0.038854674,Low Risk
0.968901,High Risk
0.0044845254,Low Risk
0.013614866,Low Risk
0.026755417,Low Risk
0.07250681,Low Risk
0.11902888,Low Risk
0.0035852427,Low Risk
0.12169831,Low Risk
0.46806768,Medium Risk
0.11522681,Low Risk
0.70652336,High Risk
0.4131032,Medium Risk
0.37488666,Medium Risk
0.0038146083,Low Risk
0.000909812,Low Risk
0.6541594,Medium Risk
0.2606611,Low Risk
0.10181464,Low Risk
0.17158313,Low Risk
0.060284194,Low Risk
0.20618396,Low Risk
0.34566945,Medium Risk
0.0139964195,Low Risk
0.010843916,Low Risk
0.10904338,Low Risk
0.40698695,Medium Risk
0.86561334,High Risk
0.6914658,Medium Risk
0.028100334,Low Risk
0.6958381,Medium Risk
0.9731371,High Risk
0.016177686,Low Risk
0.60107213,Medium Risk
0.53423905,Medium Risk
0.046005048,Low Risk
0.63912004,Medium Risk
0.43098003,Medium Risk
0.005830227,Low Risk
0.019563837,Low Risk
0.7510044,High Risk
0.6604815,Medium Risk
0.8891213,High Risk
0.024969615,Low Risk
0.08750563,Low Risk
0.015860477,Low Risk
0.40668505,Medium Risk
0.08663531,Low Risk
0.010395268,Low Risk
0.43663776,Medium Risk
0.015415741,Low Risk
0.11611225,Low Risk
0.015103424,Low Risk
0.096848175,Low Risk
0.115978755,Low Risk
0.17181812,Low Risk
0.32366166,Medium Risk
0.23583649,Low Risk
0.13229953,Low Risk
0.15973313,Low Risk
0.1562247,Low Risk
0.028332192,Low Risk
0.9197768,High Risk
0.01360028,Low Risk
0.34512204,Medium Risk
0.14579728,Low Risk
0.044729285,Low Risk
0.05884558,Low Risk
0.2447296,Low Risk
0.83458024,High Risk
0.0027160638,Low Risk
0.09562903,Low Risk
0.4819948,Medium Risk
0.31421375,Medium Risk
0.26251283,Low Risk
0.6325935,Medium Risk
0.6393235,Medium Risk
0.01060454,Low Risk
0.029412633,Low Risk
0.06323624,Low Risk
0.8066216,High Risk
0.60130686,Medium Risk
0.00828083,Low Risk
0.014567265,Low Risk
0.050267905,Low Risk
0.049173586,Low Risk
0.0014372537,Low Risk
0.020789351,Low Risk
0.62069494,Medium Risk
0.25650215,Low Risk
0.004754417,Low Risk
0.710848,High Risk
0.052061766,Low Risk
0.116398126,Low Risk
0.46987,Medium Risk
0.15391454,Low Risk
0.4963559,Medium Risk
0.8457997,High Risk
0.047249436,Low Risk
0.2817825,Low Risk
0.017551443,Low Risk
0.40491685,Medium Risk
0.108840406,Low Risk
0.19158593,Low Risk
0.096852474,Low Risk
0.16015328,Low Risk
0.54170364,Medium Risk
0.21007456,Low Risk
0.8992394,High Risk
0.002123708,Low Risk
0.5686649,Medium Risk
0.655012,Medium Risk
0.03491048,Low Risk
0.26942393,Low Risk
0.05796142,Low Risk
0.6458588,Medium Risk
0.7415647,High Risk
0.011445855,Low Risk
0.07128653,Low Risk
0.5912028,Medium Risk
0.4082582,Medium Risk
0.7833627,High Risk
0.021806635,Low Risk
0.2126213,Low Risk
0.47292408,Medium Risk
0.0071579884,Low Risk
0.26004443,Low Risk
0.25527704,Low Risk
0.6699228,Medium Risk
0.07786549,Low Risk
0.63406557,Medium Risk
0.012144813,Low Risk
0.8132933,High Risk
0.8642796,High Risk
0.030297616,Low Risk
0.96859944,High Risk
0.019127324,Low Risk
0.3885764,Medium Risk
0.60587776,Medium Risk
0.19446859,Low Risk
0.034845557,Low Risk
0.8778214,High Risk
0.048572686,Low Risk
0.010022362,Low Risk
0.035339914,Low Risk
0.074840784,Low Risk
0.019649588,Low Risk
0.0052838144,Low Risk
0.06687593,Low Risk
0.09518094,Low Risk
0.0055799964,Low Risk
